feature	alanine	glucose	lysine	lactate	pyruvate	glutamate	lipids	N.acetyl.glycoprotein
high IP3R 8	-2.4718755067145	-4.20981962510431	-4.92017610192676	-2.77635833028832	-4.80992072714099	-6.0802784450519	-1.27086010147533	-3.0365519542684
high IP3R 9	-2.96754816678444	-4.00337393925183	-4.52568875844669	-2.92750000136376	-5.40822255588891	-6.18307001820549	-0.918519827079753	-3.86600322053852
high IP3R 10	-2.12686183692851	-3.10741789269948	-4.98266284609423	-2.55065228631753	-4.76442279709484	-5.62598564975982	-1.53773865795172	-4.28656366839676
high IP3R 11	-3.06792224229573	-3.97349029038679	-5.69745634542558	-3.48640622086188	-4.73140371745526	-6.23991413103548	-0.655097080033762	-5.46211263313524
high IP3R 12	-3.01731634830118	-4.25453476716638	-4.6294481893971	-3.64839895120682	-6.44449378875291	-6.77072194605933	-0.598278496879116	-5.45681402590524
high IP3R 13	-2.83687313937205	-3.58437488952819	-3.64295390393469	-2.29637974725784	-4.68607030681946	-5.49883871064789	-1.35423413208554	-4.61028771904923
high IP3R 14	-2.89458874345995	-4.28316904976798	-5.21507236833041	-3.2518891508567	-4.8570928612765	-6.33433572947548	-0.814675083821447	-3.90328592685594
high IP3R 15	-2.47117778102497	-3.3517291898921	-3.30635582356929	-2.58057126448039	-4.46501310586406	-5.60070468714342	-1.75345888324944	-3.458552294255
high IP3R 16	-3.0389675309361	-4.55185809975109	-3.61560630454005	-3.50362597683958	-5.71880827654408	-6.87308565598919	-0.793005543785223	-4.02820474390961
high IP3R 17	-3.27754561506458	-4.18576774197381	-4.44441280997668	-3.29279822518783	-5.44920181859426	-7.44321800623654	-0.667602286446798	-4.80510582944635
high IP3R 18	-3.13643360359657	-4.23346995415374	-4.64987372372541	-2.93788401466319	-6.80387435754991	-6.18569228635403	-0.726672544841777	-4.80387435754991
high IP3R 19	-2.86120406480319	-4.37630088624135	-4.33771646473463	-2.72514496571953	-7.08058635857769	-6.44055816780526	-0.928853535613898	-3.84976660175579
high IP3R 20	-3.49052956745247	-3.54604951340378	-2.97018366516339	-2.89337460244219	-6.46749281796897	-6.30126617379301	-1.04385892711337	-4.20528973120803
high IP3R 21	-2.49812118279096	-4.0022654239625	-3.33576473096124	-2.69385248971705	-4.91929951073465	-5.49998739355241	-1.32520938866751	-4.24444195053811
high IP3R 22	-3.03071549653337	-4.32643746876453	-4.32695079915418	-3.20328225060848	-5.1295644276298	-6.72802280586534	-0.842945736869919	-3.75851183548702
high IP3R 23	-3.23762345085684	-4.54897007381437	-3.41968704529059	-3.09357961338886	-4.88046688269899	-6.33293317525068	-0.803877566291509	-5.53929213888141
high IP3R 24	-2.36616681618183	-2.93675614204608	-4.72652026077967	-2.32768315820676	-5.39940925020155	-5.85441321084805	-1.74753414787368	-3.32662868701558
high IP3R 25	-2.89932459525085	-3.61064678458687	-2.61329680232025	-3.01624807936603	-7.31446021540501	-6.0858087243521	-1.24220514022319	-4.22847392757864
high IP3R 26	-2.69055059498079	-4.58709739847912	-4.11214104831207	-3.47323461496697	-5.49020557077202	-6.44585546563493	-1.07544051414186	-2.76242219497814
high IP3R 27	-3.2064723360511	-4.43531514536167	-4.23612313941647	-2.60258394033827	-6.21784440530697	-6.51150861729499	-1.01395597719051	-3.20879115686216
control 1	-2.5711484941808	-3.29030455584495	-4.1755839654323	-3.34713160387106	-3.16309673204022	-6.97862079569086	-1.74956059227893	-2.65337642628087
control 2	-2.80366449011717	-3.37970361776116	-7.87489664987487	-3.62930005834561	-3.48637732686696	-6.15753547780798	-1.1975335444991	-2.87434343964566
control 3	-3.13112146537376	-3.71172536168491	-4.05202805941929	-4.58673858163064	-3.87163813265767	-7.22816479291013	-0.931968873887265	-3.20414594797884
control 4	-3.25792093250123	-4.04087161518906	-4.56321479520999	-3.94470235262894	-4.74972219800723	-6.61824093667124	-0.75884069489199	-3.48766027967439
control 5	-2.9249001696948	-3.7499027311339	-3.9944375944202	-3.73937390307088	-3.24974272708058	-6.12670448546677	-1.16025126772389	-3.48201217577789
control 6	-3.02193168461897	-2.79398246624649	-3.54686720060271	-3.32520322157569	-5.72574119222508	-6.49775365046788	-1.47199387221896	-2.67193471072334
control 7	-3.00859164353494	-4.01554066756415	-4.76989617071478	-3.56005469634702	-5.6437126487592	-5.99403042294542	-0.984435564066952	-2.72395988542655
control 8	-3.04093197984585	-3.36050913632743	-4.82263485978554	-3.57996825803075	-4.97164481251465	-6.10467027486994	-1.09293470960063	-2.76644032280999
control 9	-2.71131357661744	-3.8592939558063	-5.10238134588383	-3.33925955254522	-6.56632850887724	-6.06356210094067	-1.23515879991855	-2.32054480976139
control 10	-3.04012950494369	-3.79612975377942	-4.92576505389462	-3.44986228844747	-5.01040484460544	-7.06518793189564	-1.00986013423368	-2.76668914310665
control 11	-3.19698484116308	-3.74005875651663	-5.16501574713515	-4.7975962512408	-3.31545830085218	-6.55324038331457	-0.944297161681789	-3.04091680532979
control 12	-2.41485172289683	-3.1787412269141	-5.58912736941646	-3.88092907246585	-7.29008305117595	-7.14345814789322	-1.05012391340023	-3.09539501481042
control 13	-2.59306109000867	-3.46020767698326	-4.26484822609577	-4.31240253542097	-7.0580358291455	-7.28670757685574	-0.89262137588522	-3.49795819026317
control 14	-2.16104318090219	-3.45899709239815	-3.73246370335512	-3.25593538820966	-6.83882364908715	-5.91216974398333	-1.76976739508482	-2.41922655977528
control 15	-3.3929842570638	-3.00909545297274	-3.97305271467862	-4.00981124963348	-3.06082093756648	-6.7575567166392	-1.32983878594545	-2.9664372180846
