	Group
high IP3R 8	high
high IP3R 9	high
high IP3R 10	high
high IP3R 11	high
high IP3R 12	high
high IP3R 13	high
high IP3R 14	high
high IP3R 15	high
high IP3R 16	high
high IP3R 17	high
high IP3R 18	high
high IP3R 19	high
high IP3R 20	high
high IP3R 21	high
high IP3R 22	high
high IP3R 23	high
high IP3R 24	high
high IP3R 25	high
high IP3R 26	high
high IP3R 27	high
control 1	control
control 2	control
control 3	control
control 4	control
control 5	control
control 6	control
control 7	control
control 8	control
control 9	control
control 10	control
control 11	control
control 12	control
control 13	control
control 14	control
control 15	control
